customer_id,churn_flag,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,phone_service,gender,senior_citizen,partner,dependents,tech_support,online_security,streaming_tv,streaming_movies,paperless_billing,num_products,last_activity_days
C00020,0,7,81.05,1708.27,One Year,Mailed Check,DSL,No,Male,0,Yes,No,Yes,No,No,Yes,No,4,44
C00021,0,14,88.06,179.72,Month-to-Month,Electronic Check,Fiber Optic,No,Male,0,No,Yes,No,Yes,Yes,Yes,Yes,3,10
C00022,0,7,95.78,3556.11,One Year,Mailed Check,Fiber Optic,Yes,Female,0,Yes,Yes,No,No,No,No,Yes,1,20
C00023,0,9,62.33,7073.6,Month-to-Month,Electronic Check,No Internet,Yes,Female,0,Yes,No,Yes,Yes,Yes,No,No,1,70
C00024,0,48,65.18,510.02,Two Year,Credit Card,Fiber Optic,Yes,Male,1,No,No,Yes,No,Yes,No,Yes,4,8
C00025,1,59,31.22,1609.84,One Year,Mailed Check,Fiber Optic,No,Female,0,Yes,No,Yes,Yes,No,Yes,Yes,1,45
C00026,0,39,54.68,2549.67,One Year,Bank Transfer,Fiber Optic,Yes,Male,0,No,No,Yes,No,No,No,No,5,34
C00027,0,18,77.9,5880.63,One Year,Credit Card,DSL,No,Female,0,No,Yes,Yes,No,No,No,No,2,51
C00028,0,59,90.24,5161.02,Two Year,Bank Transfer,No Internet,No,Male,1,No,No,No,No,Yes,Yes,Yes,4,4
C00029,0,17,39.55,3385.96,One Year,Electronic Check,Fiber Optic,Yes,Female,1,No,No,Yes,No,Yes,No,Yes,3,39
C00030,0,14,32.4,6096.64,Month-to-Month,Electronic Check,Fiber Optic,Yes,Male,1,Yes,No,Yes,Yes,Yes,No,No,2,84
C00031,0,31,79.67,4916.08,Month-to-Month,Bank Transfer,No Internet,No,Female,1,Yes,No,No,Yes,No,No,Yes,1,24
C00032,0,24,20.17,7178.72,One Year,Bank Transfer,Fiber Optic,Yes,Female,1,No,Yes,Yes,Yes,Yes,No,Yes,1,88
C00033,1,60,36.05,6562.41,One Year,Credit Card,DSL,Yes,Female,0,No,Yes,Yes,No,No,Yes,Yes,3,55
C00034,1,45,22.62,2097.23,Two Year,Bank Transfer,Fiber Optic,No,Female,0,Yes,Yes,Yes,No,No,No,No,5,26
C00035,1,3,35.02,2244.36,Two Year,Mailed Check,DSL,No,Female,0,No,Yes,No,No,No,No,Yes,3,25
C00036,0,37,36.32,1090.32,Two Year,Mailed Check,DSL,No,Female,1,No,Yes,Yes,No,Yes,No,Yes,4,36
C00037,0,43,54.89,2762.02,One Year,Bank Transfer,Fiber Optic,No,Female,1,No,Yes,No,No,Yes,No,No,3,71
C00038,0,40,56.21,7996.4,Two Year,Mailed Check,No Internet,No,Male,0,Yes,No,No,Yes,Yes,No,No,1,74
C00039,0,55,98.68,3305.43,Two Year,Bank Transfer,DSL,Yes,Male,1,No,No,Yes,Yes,No,No,No,5,58
C00040,0,39,65.91,1841.86,Month-to-Month,Credit Card,No Internet,No,Female,1,Yes,No,No,Yes,Yes,Yes,Yes,5,12
C00041,0,15,85.11,6123.61,Two Year,Mailed Check,Fiber Optic,No,Female,1,Yes,No,Yes,No,Yes,Yes,Yes,3,1
C00042,0,4,29.37,4385.52,Month-to-Month,Mailed Check,DSL,No,Male,0,Yes,Yes,Yes,No,No,Yes,No,4,50
C00043,1,25,40.29,1281.85,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Male,0,No,No,Yes,No,No,No,Yes,1,25
C00044,0,13,83.26,3107.45,Two Year,Mailed Check,No Internet,No,Female,1,No,Yes,Yes,No,Yes,No,Yes,2,80
C00045,0,33,24.75,3374.31,Month-to-Month,Electronic Check,Fiber Optic,No,Male,1,Yes,No,Yes,No,No,No,Yes,5,5
C00046,0,16,63.79,6055.25,One Year,Credit Card,Fiber Optic,No,Male,1,Yes,No,No,No,Yes,Yes,Yes,3,83
C00047,0,42,73.94,263.3,One Year,Credit Card,DSL,Yes,Female,1,Yes,No,No,No,No,No,No,4,68
C00048,0,66,74.19,2225.26,Two Year,Mailed Check,Fiber Optic,No,Female,0,No,Yes,No,Yes,No,Yes,No,4,6
C00049,0,55,22.06,4189.01,One Year,Mailed Check,Fiber Optic,No,Female,1,No,No,No,Yes,Yes,No,Yes,1,26
C00050,1,42,48.99,2223.89,Month-to-Month,Electronic Check,Fiber Optic,No,Male,0,Yes,Yes,Yes,No,No,No,No,5,55
C00051,1,34,77.28,5064.63,One Year,Electronic Check,DSL,Yes,Female,0,Yes,Yes,Yes,No,No,Yes,Yes,1,39
C00052,1,30,33.41,3906.75,Two Year,Mailed Check,No Internet,Yes,Female,0,No,No,No,No,No,Yes,Yes,2,9
C00053,1,13,82.59,2957.51,Two Year,Mailed Check,No Internet,Yes,Male,1,Yes,Yes,Yes,Yes,Yes,Yes,No,2,45
C00054,0,13,87.13,7598.75,Month-to-Month,Electronic Check,Fiber Optic,Yes,Female,0,No,Yes,No,Yes,No,Yes,No,2,14
C00055,1,18,108.38,5094.06,Two Year,Bank Transfer,DSL,No,Male,0,No,No,No,No,No,Yes,Yes,4,55
C00056,0,32,38.89,1126.54,One Year,Electronic Check,Fiber Optic,No,Male,1,Yes,No,No,Yes,Yes,Yes,Yes,5,9
C00057,0,39,94.26,4524.72,Two Year,Bank Transfer,No Internet,Yes,Male,1,Yes,No,No,Yes,Yes,No,Yes,1,15
C00058,0,46,66.83,6267.78,Month-to-Month,Credit Card,DSL,Yes,Male,1,No,No,Yes,Yes,No,Yes,Yes,1,37
C00059,0,29,53.61,5697.07,Two Year,Credit Card,No Internet,No,Male,0,No,No,Yes,No,No,No,No,2,50
C00060,0,62,31.01,1459.5,One Year,Electronic Check,No Internet,No,Male,1,No,No,No,Yes,No,No,No,5,84
C00061,0,62,86.2,7782.12,Month-to-Month,Bank Transfer,DSL,Yes,Female,0,No,Yes,No,Yes,Yes,No,Yes,5,72
C00062,1,57,41.23,3645.63,One Year,Electronic Check,DSL,Yes,Female,0,No,No,No,No,No,No,Yes,3,21
C00063,0,16,53.43,1356.3,Month-to-Month,Electronic Check,Fiber Optic,Yes,Female,1,Yes,No,No,No,Yes,No,No,5,57
C00064,0,56,25.63,1523.55,Two Year,Bank Transfer,Fiber Optic,Yes,Male,0,No,Yes,No,Yes,Yes,Yes,Yes,5,19
C00065,0,10,92.12,876.06,Month-to-Month,Electronic Check,No Internet,No,Female,0,No,No,Yes,No,No,Yes,No,1,58
C00066,0,30,88.99,6447.79,Month-to-Month,Credit Card,DSL,Yes,Male,0,No,Yes,No,Yes,No,Yes,Yes,5,6
C00067,1,25,86.03,1064.04,Two Year,Mailed Check,DSL,Yes,Female,0,Yes,No,No,Yes,Yes,No,No,5,4
C00068,0,5,46.95,1088.49,One Year,Mailed Check,Fiber Optic,No,Male,1,Yes,No,Yes,No,No,Yes,Yes,1,43
C00069,1,65,35.61,6818.73,Two Year,Electronic Check,No Internet,No,Female,0,No,Yes,Yes,No,No,No,Yes,5,42
C00070,1,49,77.38,2822.37,Month-to-Month,Bank Transfer,No Internet,No,Male,1,No,No,Yes,Yes,Yes,No,Yes,1,3
C00071,0,3,64.65,343.78,Two Year,Bank Transfer,Fiber Optic,No,Female,0,Yes,Yes,Yes,No,No,No,No,3,1
C00072,0,45,36.04,509.97,Month-to-Month,Credit Card,DSL,No,Male,0,Yes,No,Yes,No,Yes,No,No,4,55
C00073,1,14,81.73,1223.15,Two Year,Bank Transfer,Fiber Optic,Yes,Female,1,Yes,No,Yes,Yes,No,Yes,Yes,1,15
C00074,0,30,109.2,1785.81,Two Year,Bank Transfer,Fiber Optic,Yes,Male,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,47
C00075,0,68,87.25,5354.65,One Year,Credit Card,Fiber Optic,Yes,Female,0,No,No,Yes,Yes,Yes,Yes,Yes,5,85
C00076,1,18,86.6,1342.88,Month-to-Month,Electronic Check,Fiber Optic,No,Female,0,Yes,No,Yes,Yes,No,Yes,Yes,1,46
C00077,0,62,105.53,1039.11,One Year,Mailed Check,DSL,Yes,Female,0,No,Yes,No,Yes,Yes,Yes,No,2,58
C00078,0,37,38.26,6141.28,Month-to-Month,Credit Card,Fiber Optic,No,Male,0,No,No,Yes,Yes,Yes,No,No,2,71
C00079,0,25,70.9,5401.34,Two Year,Electronic Check,DSL,Yes,Male,0,Yes,Yes,No,No,No,Yes,No,3,81
C00080,1,48,108.17,3539.06,Month-to-Month,Credit Card,Fiber Optic,Yes,Male,1,Yes,No,No,No,No,No,Yes,1,83
C00081,0,65,34.88,4439.55,One Year,Electronic Check,No Internet,No,Male,1,Yes,Yes,No,Yes,No,No,Yes,5,39
C00082,0,53,83.02,2564.67,One Year,Credit Card,DSL,No,Male,1,Yes,No,No,No,Yes,No,No,5,3
C00083,0,15,72.72,3911.75,One Year,Electronic Check,No Internet,Yes,Female,0,No,Yes,No,No,Yes,Yes,Yes,4,30
C00084,0,49,72.78,4102.71,Month-to-Month,Credit Card,Fiber Optic,Yes,Male,0,No,Yes,No,Yes,Yes,No,No,3,35
C00085,0,68,82.79,3159.17,One Year,Electronic Check,Fiber Optic,Yes,Female,0,No,No,No,No,No,No,No,5,57
C00086,0,12,103.67,7261.92,One Year,Credit Card,Fiber Optic,Yes,Female,1,Yes,No,No,No,Yes,Yes,No,4,29
C00087,0,59,90.43,226.89,One Year,Mailed Check,DSL,Yes,Male,0,No,Yes,Yes,Yes,Yes,No,No,5,50
C00088,1,37,25.05,6279.15,Two Year,Mailed Check,No Internet,No,Female,1,Yes,No,No,No,No,No,Yes,4,62
C00089,0,61,96.75,1082.62,Two Year,Bank Transfer,DSL,No,Male,0,No,Yes,No,No,Yes,No,No,2,52
C00090,0,43,40.3,6400.62,Month-to-Month,Electronic Check,DSL,No,Male,0,Yes,No,No,Yes,No,Yes,Yes,2,14
C00091,0,70,53.92,4965.7,Month-to-Month,Credit Card,Fiber Optic,No,Male,0,No,No,No,No,No,No,No,5,35
C00092,1,39,61.56,6761.9,One Year,Electronic Check,No Internet,Yes,Female,1,No,Yes,Yes,No,No,No,No,3,28
C00093,0,56,63.28,870.36,Two Year,Mailed Check,Fiber Optic,Yes,Male,0,Yes,Yes,No,No,Yes,Yes,No,1,58
C00094,1,63,59.17,4515.95,One Year,Electronic Check,DSL,No,Male,1,No,No,Yes,Yes,Yes,Yes,No,3,30
C00095,0,46,104.36,4058.59,One Year,Credit Card,Fiber Optic,Yes,Male,0,No,No,Yes,Yes,Yes,No,Yes,3,7
C00096,0,11,83.54,5678.93,Two Year,Electronic Check,No Internet,No,Female,0,Yes,No,No,No,No,Yes,Yes,1,39
C00097,0,62,76.81,4320.9,Two Year,Credit Card,Fiber Optic,Yes,Male,1,Yes,No,No,No,No,Yes,Yes,2,69
C00098,0,25,24.49,4371.8,Two Year,Mailed Check,No Internet,Yes,Female,0,Yes,No,Yes,Yes,No,Yes,Yes,2,35
C00099,0,71,101.35,3493.81,Month-to-Month,Mailed Check,No Internet,Yes,Female,0,Yes,Yes,No,Yes,Yes,Yes,No,1,52
C00100,0,52,101.85,2539.79,Month-to-Month,Mailed Check,Fiber Optic,No,Male,0,Yes,No,No,No,Yes,Yes,Yes,4,14
C00101,0,4,90.22,3909.89,One Year,Bank Transfer,DSL,No,Female,0,No,No,Yes,Yes,Yes,Yes,Yes,3,63
C00102,0,59,20.63,1036.09,Month-to-Month,Mailed Check,Fiber Optic,No,Female,1,Yes,Yes,Yes,No,Yes,Yes,No,5,36
C00103,0,20,25.16,7695.96,Two Year,Electronic Check,DSL,No,Male,1,No,Yes,No,No,Yes,No,Yes,2,24
C00104,1,63,40.27,5743.85,Two Year,Bank Transfer,DSL,Yes,Male,0,No,Yes,No,Yes,No,Yes,Yes,5,40
C00105,0,54,31.82,7624.49,Month-to-Month,Mailed Check,Fiber Optic,Yes,Male,0,Yes,No,No,Yes,Yes,Yes,Yes,1,29
C00106,0,57,55.9,1891.15,One Year,Electronic Check,DSL,Yes,Female,1,No,Yes,Yes,No,No,Yes,Yes,5,53
C00107,1,41,103.04,7046.79,One Year,Electronic Check,DSL,Yes,Male,0,No,Yes,No,No,No,No,No,5,22
C00108,0,3,62.49,6489.44,Month-to-Month,Electronic Check,Fiber Optic,No,Female,1,Yes,Yes,Yes,Yes,Yes,Yes,No,3,72
C00109,0,6,21.21,5449.5,One Year,Credit Card,Fiber Optic,Yes,Female,0,No,Yes,Yes,No,No,Yes,Yes,1,15
C00110,0,5,45.45,5037.73,One Year,Bank Transfer,Fiber Optic,Yes,Female,1,Yes,No,No,Yes,Yes,No,No,5,69
C00111,0,5,24.01,2600.74,One Year,Electronic Check,DSL,Yes,Female,1,Yes,No,Yes,Yes,Yes,Yes,Yes,2,64
C00112,1,54,23.27,6549.65,Two Year,Credit Card,No Internet,No,Female,1,Yes,No,No,Yes,No,No,Yes,1,4
C00113,1,47,44.81,4061.97,Two Year,Mailed Check,DSL,No,Male,1,No,Yes,No,Yes,Yes,No,Yes,2,75
C00114,0,49,44.81,660.04,Month-to-Month,Electronic Check,No Internet,No,Male,0,No,Yes,Yes,Yes,Yes,Yes,No,4,18
C00115,1,9,90.84,2571.62,Two Year,Credit Card,Fiber Optic,Yes,Female,0,No,Yes,No,No,No,No,No,5,42
C00116,1,20,107.74,7488.85,One Year,Electronic Check,No Internet,No,Female,1,No,Yes,Yes,Yes,No,Yes,No,1,30
C00117,0,61,53.41,6820.37,Two Year,Bank Transfer,Fiber Optic,Yes,Male,1,Yes,Yes,Yes,Yes,No,Yes,No,2,15
C00118,1,35,58.6,7857.06,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Male,1,No,Yes,No,Yes,No,No,No,5,70
C00119,0,50,96.03,5061.15,Two Year,Mailed Check,No Internet,Yes,Female,1,Yes,No,No,Yes,No,No,No,3,55
C00120,1,62,44.13,2055.33,One Year,Electronic Check,Fiber Optic,No,Female,0,No,No,No,Yes,No,Yes,Yes,2,53
C00121,1,17,34.07,1386.24,One Year,Credit Card,No Internet,No,Male,1,No,Yes,No,Yes,Yes,Yes,No,2,16
C00122,0,3,96.78,1576.62,Month-to-Month,Mailed Check,Fiber Optic,Yes,Male,1,No,No,Yes,Yes,Yes,No,Yes,4,73
C00123,0,32,24.19,256.39,Two Year,Electronic Check,DSL,Yes,Female,1,No,Yes,Yes,No,Yes,Yes,Yes,3,34
C00124,0,13,75.77,3186.39,Two Year,Mailed Check,DSL,No,Male,1,No,Yes,Yes,No,No,Yes,No,4,27
C00125,0,68,70.58,1612.28,Two Year,Credit Card,Fiber Optic,No,Male,1,Yes,No,No,No,Yes,Yes,Yes,3,13
C00126,1,14,51.13,3352.08,One Year,Mailed Check,Fiber Optic,No,Female,1,No,Yes,Yes,No,No,No,Yes,2,27
C00127,1,11,48.37,7486.46,Month-to-Month,Mailed Check,No Internet,Yes,Female,1,No,No,Yes,Yes,Yes,Yes,Yes,4,73
C00128,0,56,89.47,3501.27,Two Year,Mailed Check,DSL,Yes,Female,0,No,Yes,No,No,No,Yes,No,5,69
C00129,0,67,27.78,7036.08,One Year,Electronic Check,No Internet,Yes,Male,1,No,Yes,No,Yes,Yes,Yes,No,3,86
C00130,0,29,41.31,4883.49,One Year,Credit Card,Fiber Optic,No,Female,1,Yes,No,No,No,No,No,Yes,2,31
C00131,0,9,85.92,2052.34,One Year,Bank Transfer,Fiber Optic,No,Male,1,No,Yes,Yes,No,No,No,No,1,3
C00132,0,67,69.35,2911.25,Two Year,Electronic Check,No Internet,No,Female,0,Yes,Yes,No,Yes,No,No,Yes,3,30
C00133,0,25,31.52,762.96,Two Year,Bank Transfer,Fiber Optic,Yes,Female,0,No,Yes,Yes,Yes,No,Yes,No,3,21
C00134,1,42,99.39,2734.35,Two Year,Bank Transfer,DSL,Yes,Male,0,Yes,No,Yes,No,Yes,No,Yes,5,6
C00135,0,9,55.41,5452.57,Two Year,Electronic Check,No Internet,No,Male,1,Yes,Yes,Yes,No,Yes,Yes,Yes,3,32
C00136,0,40,94.51,669.68,Two Year,Electronic Check,DSL,Yes,Female,1,Yes,Yes,Yes,No,No,No,No,3,42
C00137,0,25,90.89,1722.67,Two Year,Credit Card,DSL,No,Female,1,Yes,Yes,Yes,No,No,Yes,No,5,62
C00138,0,5,76.2,3113.38,Two Year,Credit Card,DSL,Yes,Male,0,Yes,No,No,Yes,No,No,No,5,89
C00139,1,11,64.5,7858.19,Two Year,Mailed Check,No Internet,No,Female,1,No,No,Yes,No,Yes,Yes,No,4,32
C00140,1,59,108.16,6300.41,Two Year,Bank Transfer,Fiber Optic,Yes,Male,0,Yes,No,No,No,No,Yes,No,2,86
C00141,0,38,33.05,5894.55,One Year,Credit Card,DSL,Yes,Male,0,No,No,Yes,No,No,No,Yes,2,88
C00142,0,5,85.26,1017.91,Two Year,Mailed Check,DSL,No,Female,0,Yes,No,Yes,No,Yes,Yes,Yes,4,39
C00143,0,48,37.21,6269.87,Month-to-Month,Credit Card,DSL,No,Male,0,Yes,Yes,No,No,No,No,Yes,2,64
C00144,0,18,50.44,6303.62,One Year,Electronic Check,Fiber Optic,No,Male,0,No,No,Yes,Yes,No,No,No,3,30
C00145,0,70,47.78,4848.71,Two Year,Credit Card,Fiber Optic,No,Male,1,Yes,No,Yes,Yes,Yes,Yes,No,4,63
C00146,0,37,105.23,7923.86,Month-to-Month,Bank Transfer,No Internet,No,Female,1,Yes,Yes,No,Yes,No,Yes,Yes,4,31
C00147,0,60,107.06,2669.51,Two Year,Credit Card,Fiber Optic,Yes,Male,0,Yes,No,No,Yes,No,No,Yes,2,87
C00148,0,48,36.47,7536.05,Month-to-Month,Bank Transfer,No Internet,No,Female,1,Yes,Yes,Yes,Yes,Yes,No,Yes,1,40
C00149,0,28,21.98,7326.38,Month-to-Month,Electronic Check,No Internet,No,Female,1,No,No,Yes,No,No,No,Yes,2,33
C00150,1,69,84.8,190.7,Month-to-Month,Bank Transfer,No Internet,No,Female,0,Yes,Yes,Yes,Yes,Yes,Yes,No,1,63
C00151,0,40,57.62,3655.92,Month-to-Month,Credit Card,No Internet,Yes,Male,0,Yes,Yes,No,Yes,No,No,Yes,4,25
C00152,0,45,28.0,7819.12,One Year,Mailed Check,No Internet,No,Male,1,No,No,Yes,No,No,Yes,No,1,36
C00153,0,62,81.54,914.66,One Year,Electronic Check,DSL,No,Female,1,No,No,No,Yes,No,Yes,Yes,3,24
C00154,1,58,69.06,4427.5,Month-to-Month,Credit Card,Fiber Optic,No,Female,1,Yes,Yes,No,Yes,No,No,No,5,58
C00155,0,67,108.25,7833.76,Two Year,Electronic Check,DSL,Yes,Male,1,Yes,Yes,Yes,Yes,No,No,No,1,39
C00156,0,56,40.47,4488.41,Month-to-Month,Electronic Check,No Internet,Yes,Female,0,No,Yes,No,Yes,Yes,Yes,No,5,46
C00157,1,40,56.36,1599.54,One Year,Credit Card,Fiber Optic,No,Female,1,Yes,Yes,Yes,No,No,Yes,No,3,77
C00158,0,40,68.83,4699.25,Two Year,Credit Card,DSL,Yes,Male,0,No,Yes,Yes,No,No,Yes,Yes,5,10
C00159,0,33,91.25,1715.08,One Year,Mailed Check,DSL,No,Female,0,Yes,Yes,No,Yes,Yes,Yes,Yes,3,87
C00160,0,6,69.4,4205.66,One Year,Electronic Check,No Internet,Yes,Male,1,No,Yes,No,No,Yes,No,Yes,5,82
C00161,0,19,75.16,684.93,Two Year,Electronic Check,DSL,No,Male,1,No,No,No,Yes,No,Yes,No,5,32
C00162,0,40,40.35,4883.31,Month-to-Month,Credit Card,DSL,Yes,Female,1,No,Yes,No,No,Yes,No,Yes,2,36
C00163,0,59,96.22,4182.64,Month-to-Month,Bank Transfer,DSL,No,Male,0,Yes,No,No,No,No,No,Yes,1,28
C00164,0,59,58.58,5947.27,Month-to-Month,Credit Card,DSL,No,Male,0,Yes,No,No,No,Yes,No,Yes,5,16
C00165,1,48,32.69,5082.53,Month-to-Month,Electronic Check,DSL,Yes,Male,0,Yes,Yes,Yes,No,Yes,Yes,No,4,16
C00166,0,41,79.78,4441.89,Two Year,Credit Card,No Internet,No,Female,0,Yes,Yes,Yes,No,No,Yes,No,2,18
C00167,0,13,39.45,5549.25,Two Year,Mailed Check,No Internet,No,Female,1,No,No,Yes,No,Yes,No,No,1,8
C00168,0,45,28.78,1237.14,Two Year,Bank Transfer,DSL,No,Female,0,No,Yes,No,No,No,No,Yes,2,80
C00169,0,53,97.58,4803.34,One Year,Credit Card,No Internet,No,Male,0,No,Yes,No,No,Yes,No,Yes,1,75
C00170,0,42,61.41,1459.67,Two Year,Mailed Check,No Internet,Yes,Male,1,Yes,No,No,No,Yes,No,Yes,3,70
C00171,0,63,87.44,7411.63,Month-to-Month,Electronic Check,Fiber Optic,No,Female,0,Yes,No,Yes,No,Yes,Yes,No,5,1
C00172,0,27,46.15,639.84,One Year,Credit Card,DSL,Yes,Female,0,Yes,No,Yes,No,No,No,Yes,4,62
C00173,0,38,90.83,3499.96,Month-to-Month,Electronic Check,No Internet,Yes,Male,1,No,Yes,No,Yes,No,Yes,No,2,76
C00174,0,60,30.07,5596.8,Month-to-Month,Mailed Check,No Internet,Yes,Female,0,Yes,Yes,No,No,Yes,Yes,No,2,38
C00175,0,7,52.04,3718.38,Two Year,Electronic Check,DSL,Yes,Female,0,Yes,No,No,Yes,No,Yes,No,2,45
C00176,0,5,108.03,827.55,Two Year,Mailed Check,Fiber Optic,No,Female,0,No,Yes,No,No,No,Yes,No,2,58
C00177,0,45,91.46,4471.69,Month-to-Month,Mailed Check,DSL,No,Female,0,No,No,Yes,Yes,No,No,Yes,5,81
C00178,1,58,64.75,5168.89,Month-to-Month,Mailed Check,Fiber Optic,Yes,Female,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1
C00179,0,31,50.58,5659.96,One Year,Credit Card,DSL,No,Male,0,No,No,Yes,Yes,No,No,No,5,32
C00180,0,23,98.49,3048.75,Two Year,Electronic Check,DSL,Yes,Female,1,Yes,Yes,No,No,Yes,Yes,Yes,3,8
C00181,0,42,69.04,4552.91,One Year,Electronic Check,DSL,No,Female,0,No,No,Yes,No,Yes,No,No,5,40
C00182,1,10,88.26,3660.42,One Year,Bank Transfer,DSL,No,Male,1,No,Yes,No,No,Yes,No,Yes,5,56
C00183,1,32,87.87,5409.24,One Year,Bank Transfer,Fiber Optic,No,Male,1,No,Yes,No,No,Yes,No,Yes,3,63
C00184,0,53,21.62,4710.1,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Male,1,Yes,No,No,Yes,Yes,No,No,5,88
C00185,0,30,31.36,4253.47,One Year,Bank Transfer,No Internet,Yes,Male,0,Yes,Yes,Yes,No,No,No,No,1,74
C00186,1,39,79.37,2071.24,One Year,Electronic Check,DSL,No,Female,0,Yes,Yes,Yes,No,No,Yes,No,4,74
C00187,0,31,34.55,115.95,Month-to-Month,Mailed Check,Fiber Optic,Yes,Female,0,No,No,No,No,Yes,No,No,3,36
C00188,0,2,42.99,1475.25,Two Year,Mailed Check,Fiber Optic,Yes,Female,1,No,Yes,Yes,No,No,Yes,Yes,2,89
C00189,0,12,105.2,1024.82,Two Year,Credit Card,Fiber Optic,No,Female,0,No,Yes,No,No,No,No,No,1,57
C00190,0,39,70.42,3647.77,One Year,Mailed Check,DSL,Yes,Male,0,No,Yes,No,No,No,Yes,Yes,4,74
C00191,1,66,87.57,4936.84,Month-to-Month,Electronic Check,No Internet,No,Male,0,Yes,No,No,No,No,Yes,No,1,83
C00192,1,13,70.22,1783.37,Two Year,Electronic Check,Fiber Optic,No,Female,0,Yes,No,Yes,No,No,Yes,Yes,1,45
C00193,0,46,69.73,7518.55,One Year,Electronic Check,DSL,No,Female,1,Yes,No,Yes,Yes,No,No,No,2,79
C00194,0,27,28.47,152.79,One Year,Credit Card,Fiber Optic,Yes,Female,1,No,No,No,Yes,No,Yes,Yes,4,80
C00195,0,17,50.93,6201.18,Month-to-Month,Bank Transfer,Fiber Optic,No,Female,0,No,No,Yes,No,Yes,No,Yes,1,2
C00196,0,60,45.42,5039.12,One Year,Mailed Check,No Internet,No,Male,0,Yes,Yes,Yes,No,Yes,No,Yes,2,68
C00197,1,64,55.17,3051.08,Two Year,Electronic Check,Fiber Optic,Yes,Female,0,No,Yes,Yes,No,Yes,Yes,No,3,50
C00198,1,35,91.85,498.86,Month-to-Month,Electronic Check,Fiber Optic,Yes,Male,1,Yes,No,Yes,No,No,Yes,No,2,29
C00199,1,70,53.47,5057.14,Two Year,Bank Transfer,DSL,Yes,Male,0,No,Yes,No,Yes,No,No,No,5,81
C00200,0,30,60.65,3146.35,Two Year,Electronic Check,DSL,Yes,Male,1,No,Yes,Yes,Yes,Yes,No,No,2,10
C00201,0,71,55.76,7496.51,Two Year,Mailed Check,No Internet,No,Male,1,Yes,Yes,No,No,No,No,Yes,2,27
